id,title,description,unit_price
511282d6de2311eb829b9828a6410061,"Ram Van B250","Suspendisse potenti.",34
51138789de2311eb829b9828a6410061,Challenger,"In hac habitasse platea dictumst.",45
5114a0d2de2311eb829b9828a6410061,Leone,"Suspendisse potenti.",33
51159676de2311eb829b9828a6410061,Yaris,"Nunc rhoncus dui vel sem.",25
51164362de2311eb829b9828a6410061,"G-Series G20","Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",28
51170ab2de2311eb829b9828a6410061,Villager,"Donec quis orci eget orci vehicula condimentum.",31
51179b63de2311eb829b9828a6410061,545,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",45
51182b13de2311eb829b9828a6410061,Mazda3,"Vestibulum sed magna at nunc commodo placerat.",40
5118b550de2311eb829b9828a6410061,"T100 Xtra","Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",49
511976ffde2311eb829b9828a6410061,QX,"Quisque ut erat.",29
511a5b35de2311eb829b9828a6410061,SLK-Class,"Integer ac leo.",25
511b1311de2311eb829b9828a6410061,"Express 2500","Curabitur at ipsum ac tellus semper interdum.",31
511c2567de2311eb829b9828a6410061,Impreza,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",47
511cf92bde2311eb829b9828a6410061,Galant,"In hac habitasse platea dictumst.",47
511dc4eede2311eb829b9828a6410061,"Express 3500","In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",36
511eb18fde2311eb829b9828a6410061,Jetta,"Duis ac nibh.",27
511f8da2de2311eb829b9828a6410061,E-Class,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",32
5120c056de2311eb829b9828a6410061,CR-V,"Integer a nibh.",49
5121c92ede2311eb829b9828a6410061,Wrangler,"Vivamus in felis eu sapien cursus vestibulum.",48
5122b573de2311eb829b9828a6410061,Tundra,"Sed sagittis.",22
