id,title,description,is_available
0d52295dddaa11eb829b9828a6410061,Cadillac,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",true
0d535ab8ddaa11eb829b9828a6410061,Mazda,"Vivamus vestibulum sagittis sapien.",false
0d5444a7ddaa11eb829b9828a6410061,Toyota,"Morbi non lectus.",false
0d54f189ddaa11eb829b9828a6410061,Toyota,"Sed sagittis.",true
0d55d902ddaa11eb829b9828a6410061,GMC,"Integer ac neque.",true
0d5673dcddaa11eb829b9828a6410061,Subaru,"Donec ut mauris eget massa tempor convallis.",true
0d572612ddaa11eb829b9828a6410061,GMC,"Nullam porttitor lacus at turpis.",true
0d57d703ddaa11eb829b9828a6410061,Mazda,"Etiam faucibus cursus urna.",false
0d588eabddaa11eb829b9828a6410061,Toyota,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",false
0d59499cddaa11eb829b9828a6410061,Mazda,"Etiam faucibus cursus urna.",false
