id,floor,number,category,status
f8e686e0dbea11eb829b9828a6410061,20,9,defdf1dadbe811eb829b9828a6410061,1590d867dbe911eb829b9828a6410061
f8f15478dbea11eb829b9828a6410061,3,5,df17b9d3dbe811eb829b9828a6410061,159dd09adbe911eb829b9828a6410061
f8f4418bdbea11eb829b9828a6410061,13,9,defdf1dadbe811eb829b9828a6410061,15a6fb3cdbe911eb829b9828a6410061
f8f52d2adbea11eb829b9828a6410061,7,8,def69344dbe811eb829b9828a6410061,15a20cfddbe911eb829b9828a6410061
f8f614d0dbea11eb829b9828a6410061,14,6,df17b9d3dbe811eb829b9828a6410061,159bfaacdbe911eb829b9828a6410061
f8f6acacdbea11eb829b9828a6410061,9,7,df1b0a2cdbe811eb829b9828a6410061,15bb3307dbe911eb829b9828a6410061
f8f73c5fdbea11eb829b9828a6410061,3,8,deff225fdbe811eb829b9828a6410061,15793ea6dbe911eb829b9828a6410061
f8f81572dbea11eb829b9828a6410061,1,6,df0d2f3bdbe811eb829b9828a6410061,15a31a26dbe911eb829b9828a6410061
f8f8bbfadbea11eb829b9828a6410061,6,4,df112bc4dbe811eb829b9828a6410061,15a03e0edbe911eb829b9828a6410061
f8f96cbfdbea11eb829b9828a6410061,14,1,def88671dbe811eb829b9828a6410061,15833c54dbe911eb829b9828a6410061
f8fa1f59dbea11eb829b9828a6410061,12,4,dee3e892dbe811eb829b9828a6410061,1582755ddbe911eb829b9828a6410061
f8fae900dbea11eb829b9828a6410061,15,2,deed0511dbe811eb829b9828a6410061,15885075dbe911eb829b9828a6410061
f8fba35edbea11eb829b9828a6410061,15,2,defc9916dbe811eb829b9828a6410061,15833c54dbe911eb829b9828a6410061
f8fc6d2cdbea11eb829b9828a6410061,13,7,df1b0a2cdbe811eb829b9828a6410061,15be23b9dbe911eb829b9828a6410061
f8fd388fdbea11eb829b9828a6410061,18,9,df0d2f3bdbe811eb829b9828a6410061,15b7899adbe911eb829b9828a6410061
f8fdeb9fdbea11eb829b9828a6410061,14,6,defa4c87dbe811eb829b9828a6410061,15a0f611dbe911eb829b9828a6410061
f8fe9866dbea11eb829b9828a6410061,5,10,def2d771dbe811eb829b9828a6410061,15ae8d39dbe911eb829b9828a6410061
f8ff5867dbea11eb829b9828a6410061,7,5,deff225fdbe811eb829b9828a6410061,158a52dbdbe911eb829b9828a6410061
f8fffe3ddbea11eb829b9828a6410061,2,2,df1f432cdbe811eb829b9828a6410061,15a03e0edbe911eb829b9828a6410061
f900976fdbea11eb829b9828a6410061,15,2,df19016edbe811eb829b9828a6410061,15bda826dbe911eb829b9828a6410061
f9014183dbea11eb829b9828a6410061,12,10,deea0d5bdbe811eb829b9828a6410061,15b6f9a8dbe911eb829b9828a6410061
f901f79fdbea11eb829b9828a6410061,11,6,deff225fdbe811eb829b9828a6410061,1590d867dbe911eb829b9828a6410061
f9029d73dbea11eb829b9828a6410061,19,5,df0a795fdbe811eb829b9828a6410061,15c017c9dbe911eb829b9828a6410061
f9034ef7dbea11eb829b9828a6410061,3,9,a95caa96dbe811eb829b9828a6410061,15be23b9dbe911eb829b9828a6410061
f903f731dbea11eb829b9828a6410061,6,8,df1ea45edbe811eb829b9828a6410061,158f0200dbe911eb829b9828a6410061
f904a894dbea11eb829b9828a6410061,4,4,df01a57cdbe811eb829b9828a6410061,15a48adddbe911eb829b9828a6410061
f90560cddbea11eb829b9828a6410061,2,9,deab0262dbe811eb829b9828a6410061,15b6f9a8dbe911eb829b9828a6410061
f9061427dbea11eb829b9828a6410061,7,9,deff225fdbe811eb829b9828a6410061,15bb3307dbe911eb829b9828a6410061
f906b259dbea11eb829b9828a6410061,16,5,df08c012dbe811eb829b9828a6410061,1594c045dbe911eb829b9828a6410061
f90793e4dbea11eb829b9828a6410061,20,2,deed0511dbe811eb829b9828a6410061,15bc6a15dbe911eb829b9828a6410061
f9087c9ddbea11eb829b9828a6410061,1,5,defdf1dadbe811eb829b9828a6410061,15a31a26dbe911eb829b9828a6410061
f9094931dbea11eb829b9828a6410061,4,1,dee3e892dbe811eb829b9828a6410061,157f8183dbe911eb829b9828a6410061
